epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5513,1.13099,2.45864,1.55295,0.41252,0.60303,0.50142,0.3234,1.15293,1.58973,1.71907,0.00332323,0.00332323,0.00332323
2,89.4405,1.03076,1.51459,1.4252,0.406,0.52609,0.50436,0.31788,1.25272,1.5111,1.8025,0.00661263,0.00661263,0.00661263
3,132.618,1.11278,1.53749,1.48147,0.4852,0.48304,0.42074,0.21637,1.76079,1.68681,2.57554,0.00985803,0.00985803,0.00985803
4,175.656,1.17801,1.60499,1.5305,0.48883,0.58439,0.52426,0.30564,1.41748,1.50158,2.03042,0.009802,0.009802,0.009802
5,218.709,1.14923,1.52543,1.50855,0.44111,0.49836,0.51873,0.32585,1.28825,1.47857,1.85485,0.009736,0.009736,0.009736
6,261.68,1.12077,1.47913,1.47725,0.4792,0.62358,0.58897,0.39228,1.20093,1.32737,1.75943,0.00967,0.00967,0.00967
7,304.66,1.09582,1.41293,1.45248,0.63328,0.67741,0.68836,0.46158,1.15605,1.1381,1.70184,0.009604,0.009604,0.009604
8,347.677,1.07491,1.34079,1.44004,0.51748,0.61107,0.61006,0.4061,1.1813,1.24396,1.72031,0.009538,0.009538,0.009538
9,390.583,1.03999,1.29869,1.41062,0.71552,0.58021,0.60806,0.4018,1.1832,1.28445,1.73751,0.009472,0.009472,0.009472
10,433.531,1.02475,1.26342,1.39673,0.67033,0.6608,0.71337,0.49406,1.08514,1.06719,1.59361,0.009406,0.009406,0.009406
11,476.562,1.00622,1.22355,1.37984,0.63808,0.51146,0.5581,0.33139,1.49149,1.4331,2.17557,0.00934,0.00934,0.00934
12,519.729,0.9971,1.18929,1.37162,0.66209,0.65182,0.69634,0.48836,1.08215,1.11039,1.61098,0.009274,0.009274,0.009274
13,562.66,0.98475,1.17221,1.36558,0.64659,0.71876,0.74851,0.52433,1.06568,0.98919,1.60314,0.009208,0.009208,0.009208
14,605.713,0.95614,1.11987,1.34214,0.7139,0.66097,0.7534,0.53446,1.05897,0.98931,1.57024,0.009142,0.009142,0.009142
15,648.716,0.93584,1.08971,1.32882,0.63375,0.72393,0.7126,0.5094,1.06296,1.0287,1.57738,0.009076,0.009076,0.009076
16,691.69,0.9376,1.05916,1.32221,0.76112,0.63885,0.74815,0.53904,1.01001,0.98598,1.53553,0.00901,0.00901,0.00901
17,734.679,0.92277,1.0582,1.31695,0.69151,0.70254,0.73823,0.5319,1.04162,0.98485,1.54265,0.008944,0.008944,0.008944
18,777.613,0.91835,1.03024,1.31488,0.7369,0.70179,0.76194,0.55803,0.99475,0.94188,1.51032,0.008878,0.008878,0.008878
19,820.553,0.90728,0.99663,1.3023,0.65979,0.7786,0.77543,0.55066,1.005,0.95779,1.53297,0.008812,0.008812,0.008812
20,863.693,0.90328,0.98264,1.2989,0.73531,0.74593,0.7975,0.58026,1.01729,0.91094,1.54056,0.008746,0.008746,0.008746
21,906.752,0.87767,0.9541,1.28245,0.8235,0.69061,0.78721,0.56773,1.03629,0.94356,1.56658,0.00868,0.00868,0.00868
22,951.269,0.86994,0.93973,1.27704,0.71691,0.75478,0.77162,0.56766,0.98182,0.97704,1.51154,0.008614,0.008614,0.008614
23,994.709,0.87234,0.92239,1.27736,0.75153,0.6975,0.78247,0.57116,0.9889,0.95297,1.5152,0.008548,0.008548,0.008548
24,1037.74,0.86105,0.89652,1.26888,0.73716,0.75205,0.77962,0.55978,1.02969,0.97506,1.55665,0.008482,0.008482,0.008482
