epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8416,1.05857,2.19365,1.52261,0.43562,0.49262,0.45953,0.29877,1.26026,1.54622,1.81707,0.00332323,0.00332323,0.00332323
2,146.124,1.00305,1.41609,1.41762,0.52861,0.58292,0.5388,0.37372,1.15115,1.39702,1.7396,0.00661263,0.00661263,0.00661263
3,217.537,1.08314,1.47298,1.48001,0.64901,0.3644,0.37115,0.18805,1.72878,1.84357,2.54309,0.00985803,0.00985803,0.00985803
4,288.445,1.16831,1.5923,1.54459,0.35774,0.52201,0.42524,0.24717,1.47091,1.7344,2.11347,0.009802,0.009802,0.009802
5,359.287,1.1331,1.5069,1.51469,0.60214,0.61407,0.62788,0.40365,1.20578,1.24901,1.80824,0.009736,0.009736,0.009736
6,430.322,1.11239,1.45168,1.49054,0.53349,0.65171,0.60876,0.41141,1.17366,1.21804,1.76603,0.00967,0.00967,0.00967
7,501.293,1.07824,1.37132,1.46511,0.41795,0.55003,0.46606,0.27878,1.44772,1.95774,2.06528,0.009604,0.009604,0.009604
8,572.179,1.05352,1.30077,1.44447,0.57575,0.65983,0.65269,0.44606,1.09649,1.0656,1.64658,0.009538,0.009538,0.009538
9,643.278,1.01906,1.25518,1.40876,0.57955,0.67801,0.67846,0.4672,1.10157,1.12756,1.66591,0.009472,0.009472,0.009472
10,714.473,1.00523,1.21067,1.40456,0.63485,0.71573,0.72108,0.51389,1.06176,1.00857,1.58603,0.009406,0.009406,0.009406
11,785.632,0.97813,1.16971,1.3783,0.67063,0.69902,0.73421,0.52143,1.0367,0.97998,1.5789,0.00934,0.00934,0.00934
12,856.686,0.96706,1.14181,1.36807,0.66995,0.72167,0.73344,0.5257,1.01382,0.99122,1.55724,0.009274,0.009274,0.009274
13,927.993,0.95716,1.10158,1.35841,0.68932,0.6472,0.73161,0.51366,1.07247,1.02769,1.61503,0.009208,0.009208,0.009208
14,998.906,0.93027,1.07539,1.33974,0.70374,0.67162,0.72642,0.51811,1.07006,1.02696,1.59578,0.009142,0.009142,0.009142
15,1070.02,0.91767,1.04075,1.32959,0.68464,0.72642,0.75735,0.54423,1.04952,0.93358,1.58611,0.009076,0.009076,0.009076
16,1141.04,0.91803,1.00388,1.32572,0.69224,0.76879,0.78441,0.5656,0.97791,0.88478,1.53206,0.00901,0.00901,0.00901
