epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1679,2.14866,5.80988,3.04813,0.45403,0.5726,0.55084,0.38807,2.13423,2.95493,3.25785,0.00332323,0.00332323,0.00332323
2,120.002,2.1166,3.05022,2.88499,0.59462,0.46447,0.44607,0.28819,2.40259,3.09275,3.548,0.00661263,0.00661263,0.00661263
3,177.494,2.3245,3.26462,3.0122,0.33111,0.43663,0.3378,0.20036,2.99055,3.74063,4.6963,0.00985803,0.00985803,0.00985803
4,232.779,2.47269,3.4199,3.12818,0.40446,0.44702,0.39812,0.21594,3.03934,3.3306,4.26362,0.009802,0.009802,0.009802
5,288.051,2.3986,3.18317,3.06246,0.41526,0.63237,0.54553,0.3569,2.36897,2.5741,3.51546,0.009736,0.009736,0.009736
6,343.343,2.33823,3.02666,2.98634,0.54732,0.56065,0.57819,0.35837,2.59792,2.62616,3.74179,0.00967,0.00967,0.00967
7,398.666,2.25974,2.88343,2.92648,0.51439,0.64197,0.58241,0.40149,2.2536,2.34072,3.36506,0.009604,0.009604,0.009604
8,454.059,2.19241,2.67436,2.87072,0.49438,0.5345,0.53437,0.3564,2.49328,2.38294,3.57662,0.009538,0.009538,0.009538
9,509.32,2.13299,2.60876,2.81708,0.70389,0.58181,0.63852,0.44271,2.22565,2.28276,3.37152,0.009472,0.009472,0.009472
10,564.6,2.09774,2.52009,2.77788,0.66049,0.5874,0.67507,0.47728,2.08306,2.02913,3.17945,0.009406,0.009406,0.009406
11,619.801,2.05828,2.42625,2.75529,0.65126,0.66399,0.71477,0.51554,2.03143,1.86544,3.1471,0.00934,0.00934,0.00934
12,675.148,2.03636,2.33959,2.7359,0.64007,0.63133,0.67664,0.47729,2.09675,1.9465,3.18465,0.009274,0.009274,0.009274
13,730.521,1.99723,2.28811,2.70139,0.67509,0.70652,0.74026,0.53709,2.06725,1.88233,3.15577,0.009208,0.009208,0.009208
14,785.771,1.93355,2.19108,2.66464,0.6443,0.67972,0.6921,0.48699,2.09919,2.03742,3.17928,0.009142,0.009142,0.009142
15,840.987,1.90528,2.15389,2.64427,0.63909,0.73477,0.74074,0.53725,2.04319,1.81282,3.13851,0.009076,0.009076,0.009076
16,896.289,1.90121,2.07024,2.63215,0.67303,0.67984,0.69407,0.5066,2.03203,1.92876,3.15153,0.00901,0.00901,0.00901
17,951.643,1.87306,2.05167,2.61739,0.66866,0.71872,0.74038,0.56266,1.87753,1.76521,2.97823,0.008944,0.008944,0.008944
18,1006.99,1.86293,2.03215,2.61574,0.7388,0.67509,0.75604,0.5578,1.98286,1.87578,3.04693,0.008878,0.008878,0.008878
19,1062.41,1.82581,1.95065,2.57991,0.65796,0.67826,0.71988,0.54666,1.90624,1.86422,3.00652,0.008812,0.008812,0.008812
20,1118,1.82706,1.87753,2.57906,0.66829,0.68563,0.72071,0.52545,1.9715,1.85154,3.071,0.008746,0.008746,0.008746
21,1173.21,1.78269,1.83417,2.54979,0.73029,0.71547,0.78213,0.59217,1.85165,1.65294,2.94878,0.00868,0.00868,0.00868
22,1228.61,1.77562,1.80511,2.53906,0.71838,0.70868,0.74673,0.56411,1.89655,1.89478,2.99676,0.008614,0.008614,0.008614
23,1283.82,1.76127,1.7971,2.53665,0.7501,0.70352,0.76591,0.57022,1.88158,1.75668,2.97346,0.008548,0.008548,0.008548
24,1340.59,1.752,1.73979,2.52359,0.74711,0.74199,0.78955,0.59089,1.9117,1.68602,3.02299,0.008482,0.008482,0.008482
25,1395.96,1.69001,1.71897,2.4873,0.72431,0.67969,0.74302,0.55648,1.96161,1.85893,3.06586,0.008416,0.008416,0.008416
