epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3213,1.06475,2.34047,1.54213,0.53724,0.55024,0.55694,0.38761,1.08168,1.40479,1.67261,0.00332323,0.00332323,0.00332323
2,155.255,0.97491,1.39677,1.42429,0.46463,0.64463,0.56309,0.37591,1.11554,1.39547,1.73624,0.00661263,0.00661263,0.00661263
3,231.487,1.0613,1.4468,1.47699,0.476,0.55633,0.51034,0.29606,1.44349,1.55911,2.16426,0.00985803,0.00985803,0.00985803
4,307.439,1.13458,1.5322,1.52613,0.63636,0.46701,0.46369,0.29388,1.29084,1.74248,1.93661,0.009802,0.009802,0.009802
5,383.466,1.10745,1.45912,1.49308,0.54707,0.59636,0.61095,0.41664,1.14612,1.32939,1.73197,0.009736,0.009736,0.009736
6,459.649,1.07558,1.39858,1.46191,0.55023,0.59903,0.58591,0.3677,1.32012,1.25524,1.91102,0.00967,0.00967,0.00967
7,535.779,1.04654,1.31339,1.43811,0.71076,0.64099,0.70607,0.50379,1.04479,1.06497,1.5954,0.009604,0.009604,0.009604
8,611.65,1.01237,1.23602,1.41658,0.52474,0.63068,0.60551,0.42503,1.12726,1.21568,1.66902,0.009538,0.009538,0.009538
9,687.392,0.98678,1.19213,1.3877,0.62576,0.60722,0.63954,0.45439,1.05732,1.12983,1.61557,0.009472,0.009472,0.009472
10,763.093,0.96709,1.15744,1.36987,0.69205,0.6271,0.69219,0.50138,1.03271,1.00782,1.55761,0.009406,0.009406,0.009406
11,838.749,0.93862,1.11424,1.34805,0.69046,0.68288,0.71889,0.5221,1.0204,0.9112,1.59407,0.00934,0.00934,0.00934
12,914.503,0.93417,1.07369,1.34643,0.72765,0.70786,0.7577,0.56004,0.98536,0.93328,1.54606,0.009274,0.009274,0.009274
13,990.302,0.91611,1.05061,1.33483,0.77514,0.66347,0.75762,0.54181,1.00885,0.93931,1.57072,0.009208,0.009208,0.009208
14,1065.87,0.88943,1.00389,1.30982,0.72096,0.71396,0.77742,0.57739,0.96227,0.91729,1.51052,0.009142,0.009142,0.009142
15,1141.68,0.86628,0.97802,1.29353,0.66306,0.79025,0.78209,0.583,0.97478,0.89567,1.51294,0.009076,0.009076,0.009076
16,1217.4,0.87692,0.94243,1.29343,0.76717,0.70353,0.7681,0.56764,0.97812,0.90508,1.51763,0.00901,0.00901,0.00901
17,1292.99,0.86021,0.93451,1.28514,0.71211,0.69272,0.74253,0.56569,0.92263,0.95208,1.47022,0.008944,0.008944,0.008944
18,1368.56,0.84842,0.90375,1.2794,0.73903,0.74881,0.79776,0.58951,0.97714,0.87982,1.52774,0.008878,0.008878,0.008878
19,1444.3,0.83438,0.87769,1.26472,0.72816,0.77196,0.79812,0.60685,0.91976,0.9001,1.47966,0.008812,0.008812,0.008812
20,1520,0.8277,0.85186,1.25967,0.74324,0.71221,0.78033,0.58359,0.94618,0.86951,1.51267,0.008746,0.008746,0.008746
21,1595.53,0.80856,0.82573,1.2485,0.78364,0.73365,0.79748,0.60305,0.9231,0.85399,1.47507,0.00868,0.00868,0.00868
22,1671.13,0.80128,0.8255,1.24393,0.77034,0.73512,0.79986,0.61043,0.91514,0.87484,1.47059,0.008614,0.008614,0.008614
23,1746.98,0.79286,0.80237,1.23697,0.75823,0.73877,0.80453,0.60825,0.9327,0.86428,1.48723,0.008548,0.008548,0.008548
24,1822.5,0.7847,0.78244,1.22982,0.83183,0.74858,0.82212,0.63085,0.90955,0.82375,1.48455,0.008482,0.008482,0.008482
25,1898.28,0.76043,0.7542,1.21269,0.78049,0.74614,0.81428,0.62556,0.92005,0.83662,1.48743,0.008416,0.008416,0.008416
26,1973.88,0.76873,0.75052,1.21754,0.82592,0.72543,0.82036,0.62924,0.90777,0.81419,1.48502,0.00835,0.00835,0.00835
27,2049.48,0.76035,0.74777,1.21952,0.80007,0.67723,0.7849,0.60059,0.92408,0.87932,1.46933,0.008284,0.008284,0.008284
28,2125.05,0.7507,0.72109,1.20177,0.83044,0.71291,0.79265,0.59857,0.91752,0.86549,1.47095,0.008218,0.008218,0.008218
29,2200.62,0.74013,0.70353,1.19999,0.78738,0.72596,0.80686,0.62603,0.88001,0.89542,1.43078,0.008152,0.008152,0.008152
30,2276.19,0.72979,0.69885,1.1908,0.78692,0.73691,0.8213,0.63288,0.91518,0.83372,1.47789,0.008086,0.008086,0.008086
31,2351.95,0.72873,0.68516,1.18875,0.79655,0.773,0.82841,0.63474,0.89807,0.79741,1.48299,0.00802,0.00802,0.00802
32,2427.68,0.71174,0.66647,1.17989,0.77769,0.74635,0.82311,0.63669,0.91143,0.84834,1.47181,0.007954,0.007954,0.007954
33,2503.53,0.71962,0.67133,1.18364,0.81305,0.7506,0.82255,0.62143,0.93383,0.83509,1.52418,0.007888,0.007888,0.007888
34,2579.18,0.70139,0.65349,1.17409,0.77342,0.78596,0.82607,0.63217,0.92349,0.81816,1.49109,0.007822,0.007822,0.007822
35,2654.75,0.69974,0.65159,1.17305,0.89189,0.68529,0.81502,0.62426,0.90747,0.83613,1.48445,0.007756,0.007756,0.007756
36,2730.34,0.69746,0.64101,1.16637,0.77456,0.74058,0.79749,0.61748,0.9185,0.8844,1.48974,0.00769,0.00769,0.00769
37,2805.94,0.68075,0.62408,1.16033,0.7391,0.80019,0.81173,0.62745,0.91609,0.84534,1.49026,0.007624,0.007624,0.007624
38,2881.49,0.69093,0.63083,1.16225,0.84249,0.75455,0.8306,0.63963,0.91229,0.83785,1.50451,0.007558,0.007558,0.007558
39,2957.28,0.67364,0.59996,1.15535,0.77648,0.7654,0.82342,0.63273,0.9104,0.85578,1.49777,0.007492,0.007492,0.007492
40,3032.84,0.66112,0.60749,1.14434,0.75278,0.75563,0.80887,0.61713,0.91649,0.86515,1.50609,0.007426,0.007426,0.007426
41,3108.42,0.65088,0.58648,1.13875,0.81352,0.74966,0.83281,0.63605,0.91996,0.87098,1.51686,0.00736,0.00736,0.00736
42,3183.93,0.6518,0.58362,1.1393,0.78036,0.76609,0.82775,0.63522,0.90419,0.82588,1.50061,0.007294,0.007294,0.007294
43,3259.6,0.64522,0.57236,1.13118,0.79905,0.73162,0.80633,0.615,0.91137,0.84827,1.51217,0.007228,0.007228,0.007228
44,3335.15,0.64193,0.57646,1.13525,0.79596,0.78431,0.83584,0.64213,0.93388,0.77325,1.52679,0.007162,0.007162,0.007162
45,3410.81,0.6345,0.5608,1.12733,0.74915,0.74379,0.79701,0.6143,0.91153,0.90916,1.51675,0.007096,0.007096,0.007096
46,3486.36,0.62848,0.54555,1.12657,0.79859,0.73212,0.80141,0.60725,0.93556,0.90289,1.54886,0.00703,0.00703,0.00703
47,3561.93,0.62658,0.55445,1.12463,0.75073,0.77685,0.82763,0.63699,0.90173,0.8224,1.49491,0.006964,0.006964,0.006964
48,3637.37,0.62406,0.54076,1.11715,0.83396,0.72289,0.83391,0.63994,0.89327,0.83402,1.54234,0.006898,0.006898,0.006898
49,3712.45,0.61758,0.54527,1.11899,0.81501,0.76881,0.83967,0.64114,0.90866,0.79343,1.52474,0.006832,0.006832,0.006832
50,3787,0.60313,0.52741,1.10265,0.84455,0.74333,0.83208,0.64652,0.88232,0.80006,1.511,0.006766,0.006766,0.006766
51,3861.41,0.60218,0.51806,1.10365,0.82434,0.73336,0.82425,0.64058,0.89349,0.84847,1.52379,0.0067,0.0067,0.0067
52,3935.64,0.59511,0.51553,1.1048,0.77538,0.80102,0.82935,0.63858,0.90498,0.8185,1.49599,0.006634,0.006634,0.006634
53,4009.97,0.59567,0.50875,1.10474,0.77175,0.72194,0.79098,0.61304,0.9031,0.89638,1.50971,0.006568,0.006568,0.006568
54,4084.25,0.57219,0.49804,1.09068,0.83876,0.70287,0.82256,0.63334,0.9042,0.84789,1.54703,0.006502,0.006502,0.006502
55,4158.52,0.58438,0.50593,1.09496,0.83003,0.7318,0.82184,0.63388,0.90956,0.86504,1.52639,0.006436,0.006436,0.006436
56,4232.75,0.57656,0.47958,1.08714,0.81189,0.77258,0.82168,0.63602,0.91293,0.84149,1.53472,0.00637,0.00637,0.00637
57,4307.02,0.57711,0.48877,1.09404,0.82719,0.72222,0.81873,0.62929,0.89839,0.84476,1.50738,0.006304,0.006304,0.006304
58,4381.27,0.57823,0.48752,1.08556,0.8004,0.74294,0.81303,0.6347,0.88305,0.89822,1.50955,0.006238,0.006238,0.006238
59,4455.55,0.56687,0.48372,1.08536,0.77984,0.7777,0.81525,0.62756,0.90122,0.88927,1.54186,0.006172,0.006172,0.006172
60,4529.82,0.56279,0.47466,1.08249,0.80341,0.78253,0.82817,0.64055,0.89793,0.85532,1.52107,0.006106,0.006106,0.006106
61,4604.12,0.56122,0.47036,1.07907,0.80733,0.75145,0.81287,0.63628,0.90238,0.88677,1.55563,0.00604,0.00604,0.00604
62,4678.42,0.55379,0.46574,1.07772,0.82107,0.74735,0.80751,0.63635,0.87911,0.87076,1.52473,0.005974,0.005974,0.005974
63,4752.75,0.55687,0.4668,1.08049,0.85007,0.71823,0.81921,0.64092,0.90468,0.86672,1.55043,0.005908,0.005908,0.005908
64,4826.97,0.54846,0.45344,1.07259,0.81099,0.7526,0.82402,0.63981,0.89967,0.87495,1.55317,0.005842,0.005842,0.005842
65,4901.24,0.53305,0.44505,1.06453,0.81096,0.75501,0.81538,0.63507,0.90735,0.8861,1.57537,0.005776,0.005776,0.005776
66,4975.49,0.53379,0.4471,1.06346,0.77976,0.77373,0.80536,0.62943,0.90958,0.89498,1.56956,0.00571,0.00571,0.00571
67,5049.74,0.53195,0.42887,1.06216,0.82022,0.76995,0.82128,0.64505,0.88867,0.87181,1.5436,0.005644,0.005644,0.005644
68,5123.95,0.53401,0.43444,1.06167,0.81228,0.74599,0.81898,0.63638,0.90031,0.86426,1.57015,0.005578,0.005578,0.005578
69,5198.12,0.52087,0.43384,1.0591,0.7487,0.81255,0.82584,0.64151,0.92395,0.86448,1.58368,0.005512,0.005512,0.005512
70,5272.4,0.52794,0.42813,1.06006,0.81429,0.74496,0.81151,0.63034,0.89752,0.90688,1.55769,0.005446,0.005446,0.005446
71,5346.66,0.52044,0.42364,1.05924,0.8542,0.75031,0.82244,0.6399,0.88831,0.87428,1.54016,0.00538,0.00538,0.00538
72,5420.96,0.51636,0.41631,1.05448,0.81996,0.75991,0.84104,0.65552,0.88517,0.81854,1.53243,0.005314,0.005314,0.005314
73,5495.47,0.51467,0.4194,1.05309,0.82611,0.75609,0.83459,0.65502,0.89541,0.83933,1.55747,0.005248,0.005248,0.005248
74,5569.82,0.51646,0.41398,1.05614,0.85102,0.76769,0.83504,0.66131,0.88116,0.78888,1.54269,0.005182,0.005182,0.005182
75,5644.33,0.51578,0.41272,1.05191,0.84325,0.7657,0.82649,0.64645,0.8958,0.81816,1.57729,0.005116,0.005116,0.005116
76,5718.62,0.50913,0.4078,1.05012,0.79007,0.76542,0.81897,0.63732,0.89996,0.84117,1.58639,0.00505,0.00505,0.00505
77,5792.97,0.49825,0.40062,1.04445,0.81217,0.78217,0.83467,0.65284,0.89725,0.83208,1.57957,0.004984,0.004984,0.004984
78,5867.32,0.49776,0.39599,1.04742,0.81324,0.77736,0.82683,0.64029,0.92378,0.84418,1.61249,0.004918,0.004918,0.004918
79,5941.83,0.49329,0.39299,1.04047,0.7896,0.80091,0.83344,0.64695,0.91533,0.859,1.58656,0.004852,0.004852,0.004852
80,6016.28,0.49249,0.3887,1.0434,0.85867,0.7349,0.83196,0.6465,0.90861,0.86156,1.61272,0.004786,0.004786,0.004786
81,6090.78,0.49523,0.39353,1.04019,0.81522,0.7552,0.82944,0.65347,0.89356,0.86078,1.59525,0.00472,0.00472,0.00472
82,6165.39,0.48706,0.38992,1.03977,0.79634,0.77294,0.83419,0.64703,0.90639,0.83882,1.59397,0.004654,0.004654,0.004654
83,6239.9,0.48216,0.37982,1.03338,0.7892,0.78198,0.83785,0.65042,0.90505,0.84271,1.60371,0.004588,0.004588,0.004588
84,6314.53,0.47619,0.37356,1.03167,0.74243,0.81181,0.84021,0.65064,0.91223,0.85084,1.59783,0.004522,0.004522,0.004522
85,6389.12,0.47957,0.3778,1.03399,0.82734,0.73685,0.82225,0.63874,0.92142,0.87179,1.61673,0.004456,0.004456,0.004456
86,6463.68,0.46856,0.36855,1.02697,0.81657,0.74502,0.82971,0.64482,0.90997,0.85037,1.61088,0.00439,0.00439,0.00439
87,6538.26,0.47297,0.36645,1.02958,0.80965,0.75241,0.83234,0.64722,0.90209,0.85246,1.60247,0.004324,0.004324,0.004324
88,6612.71,0.4697,0.36907,1.027,0.82384,0.77777,0.83013,0.65017,0.89462,0.82285,1.59113,0.004258,0.004258,0.004258
89,6687.15,0.47091,0.37047,1.02916,0.81564,0.7491,0.83684,0.65209,0.92492,0.80205,1.64424,0.004192,0.004192,0.004192
90,6761.61,0.46249,0.35902,1.02465,0.85621,0.73187,0.83456,0.64994,0.90877,0.80938,1.59749,0.004126,0.004126,0.004126
91,6836.06,0.45849,0.35227,1.02055,0.83884,0.75408,0.82849,0.64427,0.92058,0.85724,1.61324,0.00406,0.00406,0.00406
