epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.7453,1.05452,2.18428,1.547,0.35832,0.57941,0.46368,0.24428,1.50174,1.79844,2.21423,0.00332323,0.00332323,0.00332323
2,165.801,1.04855,1.50962,1.4734,0.41001,0.51986,0.45499,0.28571,1.31813,1.76264,1.97806,0.00661263,0.00661263,0.00661263
3,246.537,1.15654,1.60233,1.55514,0.32511,0.47142,0.38378,0.21463,1.57598,1.84188,2.45571,0.00985803,0.00985803,0.00985803
4,326.813,1.23259,1.72676,1.61566,0.34718,0.51023,0.42612,0.24598,1.47448,1.67865,2.15062,0.009802,0.009802,0.009802
5,406.993,1.18597,1.61659,1.57663,0.44208,0.57249,0.49599,0.29507,1.28426,1.47481,1.89062,0.009736,0.009736,0.009736
6,486.572,1.1645,1.55496,1.5409,0.49961,0.53553,0.53966,0.34823,1.27335,1.33601,1.91036,0.00967,0.00967,0.00967
7,566.232,1.12457,1.47541,1.50646,0.48236,0.66267,0.60063,0.38932,1.21842,1.26164,1.79435,0.009604,0.009604,0.009604
8,645.918,1.08129,1.40171,1.47519,0.49711,0.67933,0.60068,0.41247,1.09909,1.17859,1.66165,0.009538,0.009538,0.009538
9,725.506,1.05668,1.35391,1.45313,0.56157,0.64378,0.64098,0.44513,1.0924,1.14838,1.68468,0.009472,0.009472,0.009472
10,805.137,1.03545,1.31889,1.43814,0.62259,0.57938,0.621,0.4291,1.12753,1.14352,1.69714,0.009406,0.009406,0.009406
11,884.645,1.01589,1.28581,1.41583,0.55575,0.59056,0.59568,0.40537,1.12581,1.32173,1.69778,0.00934,0.00934,0.00934
12,964.258,1.00541,1.22404,1.40623,0.58955,0.71589,0.69336,0.49696,1.01327,1.09496,1.56986,0.009274,0.009274,0.009274
13,1043.86,0.98417,1.2063,1.3935,0.55717,0.65814,0.63402,0.43589,1.10735,1.13477,1.66439,0.009208,0.009208,0.009208
14,1123.49,0.9559,1.17298,1.36804,0.58254,0.68516,0.66609,0.45461,1.08803,1.10097,1.6391,0.009142,0.009142,0.009142
15,1203.09,0.94071,1.14406,1.3579,0.63946,0.68796,0.71223,0.51538,1.01349,0.99418,1.56604,0.009076,0.009076,0.009076
16,1282.84,0.94343,1.10125,1.35089,0.63612,0.75507,0.72428,0.52191,1.00611,0.9691,1.56975,0.00901,0.00901,0.00901
17,1362.64,0.92935,1.08854,1.33629,0.67217,0.69524,0.72765,0.52881,0.97256,0.93618,1.52124,0.008944,0.008944,0.008944
18,1442.34,0.91948,1.06386,1.3362,0.706,0.67054,0.74964,0.54708,1.01676,0.92294,1.57348,0.008878,0.008878,0.008878
19,1522.11,0.90426,1.03211,1.31676,0.71568,0.68526,0.75469,0.54359,0.99074,0.91882,1.54659,0.008812,0.008812,0.008812
20,1601.66,0.89731,1.01372,1.31839,0.71204,0.7278,0.76164,0.55215,0.98102,0.89238,1.54175,0.008746,0.008746,0.008746
21,1681.47,0.87996,0.97603,1.30338,0.74395,0.65584,0.74741,0.55673,0.96232,0.90638,1.51659,0.00868,0.00868,0.00868
22,1761.24,0.86915,0.96555,1.29479,0.70467,0.70109,0.76235,0.57475,0.94966,0.89811,1.50756,0.008614,0.008614,0.008614
23,1841.12,0.86574,0.95724,1.29225,0.76122,0.63376,0.73551,0.55047,0.94981,0.9732,1.5012,0.008548,0.008548,0.008548
24,1920.73,0.85399,0.91731,1.28211,0.63006,0.75537,0.75929,0.56927,0.94931,0.88128,1.50588,0.008482,0.008482,0.008482
25,2000.34,0.83669,0.90644,1.27258,0.67585,0.7533,0.77004,0.57435,0.9618,0.88084,1.52231,0.008416,0.008416,0.008416
26,2080.14,0.83671,0.89637,1.27137,0.66507,0.74815,0.75795,0.56326,0.9682,0.89593,1.51702,0.00835,0.00835,0.00835
27,2159.75,0.83184,0.88551,1.2746,0.715,0.7056,0.7723,0.58896,0.91218,0.88527,1.46391,0.008284,0.008284,0.008284
28,2239.62,0.82826,0.8577,1.26205,0.76184,0.7376,0.79701,0.60452,0.9388,0.85841,1.49082,0.008218,0.008218,0.008218
29,2319.34,0.81577,0.84831,1.25701,0.7645,0.7224,0.79304,0.5979,0.94557,0.83922,1.51764,0.008152,0.008152,0.008152
30,2398.77,0.81183,0.8451,1.25387,0.74691,0.736,0.78328,0.6034,0.91146,0.86006,1.47574,0.008086,0.008086,0.008086
31,2478.36,0.80688,0.84003,1.24767,0.77264,0.76249,0.81027,0.61851,0.92251,0.81969,1.4903,0.00802,0.00802,0.00802
32,2558.34,0.79471,0.79962,1.23866,0.78797,0.73152,0.80145,0.60843,0.92063,0.84894,1.48221,0.007954,0.007954,0.007954
33,2637.9,0.78765,0.79385,1.23277,0.7296,0.75557,0.79198,0.60726,0.91611,0.85585,1.47164,0.007888,0.007888,0.007888
34,2717.46,0.77677,0.77333,1.22635,0.75585,0.7267,0.78642,0.59796,0.93229,0.85394,1.47458,0.007822,0.007822,0.007822
35,2797.04,0.7698,0.78269,1.22295,0.77569,0.72104,0.79085,0.60689,0.91243,0.86423,1.47806,0.007756,0.007756,0.007756
36,2876.58,0.77306,0.76358,1.21938,0.74911,0.74851,0.80216,0.61186,0.93358,0.83305,1.49637,0.00769,0.00769,0.00769
37,2956.1,0.76102,0.74634,1.21623,0.77361,0.76902,0.82394,0.63373,0.91796,0.79638,1.49268,0.007624,0.007624,0.007624
38,3035.82,0.76704,0.75279,1.21802,0.70431,0.79419,0.79743,0.62012,0.88841,0.81104,1.46135,0.007558,0.007558,0.007558
39,3115.38,0.74483,0.71062,1.20412,0.75661,0.73984,0.79272,0.60752,0.91722,0.84102,1.50006,0.007492,0.007492,0.007492
40,3194.9,0.73877,0.71647,1.19786,0.80752,0.72867,0.81236,0.61882,0.921,0.8518,1.48987,0.007426,0.007426,0.007426
41,3274.49,0.72941,0.70593,1.19025,0.774,0.76435,0.82555,0.63172,0.92747,0.81186,1.49669,0.00736,0.00736,0.00736
42,3354.07,0.72875,0.69491,1.19094,0.72957,0.77933,0.81239,0.62653,0.91928,0.85194,1.4847,0.007294,0.007294,0.007294
43,3433.63,0.72091,0.688,1.18112,0.80345,0.75821,0.8273,0.63807,0.91305,0.83748,1.51151,0.007228,0.007228,0.007228
44,3513.39,0.72149,0.68902,1.18967,0.82431,0.70344,0.82428,0.63328,0.93647,0.82815,1.50857,0.007162,0.007162,0.007162
45,3592.94,0.71017,0.68124,1.18074,0.81184,0.77606,0.82289,0.63063,0.91637,0.81429,1.49131,0.007096,0.007096,0.007096
46,3672.51,0.7075,0.65899,1.17825,0.81821,0.753,0.8189,0.63238,0.91034,0.83366,1.48622,0.00703,0.00703,0.00703
47,3752.03,0.70493,0.66575,1.17775,0.79615,0.78441,0.84082,0.6513,0.89657,0.78413,1.45912,0.006964,0.006964,0.006964
48,3831.77,0.70084,0.65167,1.16819,0.84435,0.72365,0.83232,0.6509,0.87778,0.82814,1.47487,0.006898,0.006898,0.006898
49,3911.43,0.69579,0.65487,1.17428,0.86457,0.71564,0.83452,0.64346,0.91619,0.82007,1.48392,0.006832,0.006832,0.006832
50,3990.97,0.68955,0.6341,1.1601,0.8456,0.76139,0.82348,0.64432,0.88916,0.83764,1.46264,0.006766,0.006766,0.006766
51,4070.52,0.67202,0.62007,1.1519,0.75924,0.77615,0.81756,0.64081,0.88189,0.80949,1.47535,0.0067,0.0067,0.0067
52,4150.1,0.6759,0.61671,1.15484,0.82734,0.75199,0.83493,0.6438,0.90826,0.82651,1.49471,0.006634,0.006634,0.006634
53,4229.69,0.6731,0.61228,1.15422,0.80182,0.72464,0.80697,0.62778,0.89219,0.88763,1.4781,0.006568,0.006568,0.006568
54,4309.18,0.65284,0.5975,1.14086,0.79788,0.78019,0.82629,0.63994,0.92093,0.83095,1.53348,0.006502,0.006502,0.006502
55,4388.7,0.65874,0.5982,1.14363,0.77918,0.7683,0.82519,0.63863,0.91754,0.836,1.49175,0.006436,0.006436,0.006436
56,4468.23,0.65402,0.57774,1.13705,0.84083,0.7475,0.82295,0.63457,0.91395,0.81683,1.51359,0.00637,0.00637,0.00637
57,4547.81,0.65046,0.58811,1.13867,0.83234,0.72934,0.81605,0.62813,0.90641,0.88796,1.5102,0.006304,0.006304,0.006304
58,4627.29,0.64773,0.58185,1.12987,0.8125,0.74947,0.81895,0.64403,0.89054,0.87682,1.50487,0.006238,0.006238,0.006238
59,4706.78,0.63672,0.56644,1.12845,0.82977,0.72142,0.79565,0.61589,0.9148,0.89444,1.52051,0.006172,0.006172,0.006172
60,4786.29,0.63735,0.57063,1.12794,0.83774,0.7243,0.80567,0.62322,0.92719,0.91045,1.5394,0.006106,0.006106,0.006106
61,4865.85,0.63509,0.56986,1.12455,0.83536,0.73516,0.80716,0.6283,0.90037,0.90319,1.50638,0.00604,0.00604,0.00604
62,4945.36,0.6264,0.56306,1.12049,0.78303,0.73479,0.80583,0.62461,0.89323,0.8776,1.50499,0.005974,0.005974,0.005974
63,5025.07,0.62831,0.55654,1.12583,0.83174,0.72286,0.81752,0.62559,0.92126,0.86147,1.53604,0.005908,0.005908,0.005908
64,5104.6,0.62051,0.5506,1.11971,0.78158,0.75901,0.8111,0.6253,0.92328,0.85909,1.55394,0.005842,0.005842,0.005842
65,5184.18,0.60571,0.53143,1.11009,0.7959,0.77704,0.82314,0.63846,0.91707,0.87828,1.53185,0.005776,0.005776,0.005776
66,5263.69,0.60809,0.53738,1.10707,0.801,0.74846,0.81058,0.63187,0.91279,0.85512,1.5348,0.00571,0.00571,0.00571
67,5343.29,0.6029,0.52463,1.10651,0.82442,0.75403,0.82146,0.63625,0.90267,0.86133,1.50296,0.005644,0.005644,0.005644
68,5422.77,0.60245,0.52258,1.10563,0.79995,0.75335,0.81687,0.63079,0.90318,0.84442,1.51265,0.005578,0.005578,0.005578
69,5502.36,0.59876,0.52037,1.10702,0.77923,0.78447,0.81772,0.63521,0.92343,0.85576,1.54854,0.005512,0.005512,0.005512
70,5581.91,0.59553,0.50706,1.10087,0.78767,0.76793,0.82061,0.63908,0.90041,0.88992,1.53235,0.005446,0.005446,0.005446
71,5661.52,0.5857,0.51135,1.1015,0.82251,0.75708,0.8443,0.65764,0.91281,0.80196,1.53492,0.00538,0.00538,0.00538
72,5741.16,0.58521,0.50286,1.09936,0.82847,0.75439,0.83252,0.64364,0.91601,0.81884,1.5394,0.005314,0.005314,0.005314
73,5820.8,0.58655,0.50137,1.09778,0.70875,0.81093,0.82682,0.65166,0.89561,0.85654,1.50397,0.005248,0.005248,0.005248
74,5900.38,0.58168,0.48764,1.09479,0.79249,0.74415,0.78796,0.61535,0.90609,0.91342,1.52843,0.005182,0.005182,0.005182
75,5979.99,0.5791,0.49284,1.09104,0.82777,0.73137,0.8104,0.6355,0.90517,0.88189,1.5381,0.005116,0.005116,0.005116
76,6059.54,0.57346,0.48795,1.08754,0.80948,0.76689,0.81117,0.63287,0.89937,0.87226,1.53611,0.00505,0.00505,0.00505
77,6139.1,0.56145,0.47458,1.08324,0.82432,0.74623,0.83071,0.64773,0.90264,0.85137,1.54405,0.004984,0.004984,0.004984
78,6218.65,0.56092,0.47494,1.08658,0.83191,0.7462,0.81754,0.64035,0.91064,0.85867,1.55215,0.004918,0.004918,0.004918
79,6298.22,0.55837,0.47233,1.0789,0.80688,0.77023,0.81658,0.6475,0.89444,0.87146,1.52689,0.004852,0.004852,0.004852
80,6377.82,0.55034,0.46337,1.07783,0.78991,0.7499,0.81267,0.6374,0.91381,0.89417,1.54989,0.004786,0.004786,0.004786
81,6457.28,0.55637,0.47029,1.07917,0.82236,0.75025,0.82629,0.64702,0.90252,0.85504,1.54497,0.00472,0.00472,0.00472
82,6536.74,0.54572,0.47033,1.075,0.76752,0.7612,0.82038,0.64297,0.90742,0.86583,1.54598,0.004654,0.004654,0.004654
83,6616.34,0.54694,0.4583,1.07428,0.82686,0.75858,0.82966,0.65188,0.89756,0.82232,1.53943,0.004588,0.004588,0.004588
84,6696.08,0.53913,0.44463,1.07,0.81304,0.74618,0.81599,0.63431,0.90731,0.87697,1.54158,0.004522,0.004522,0.004522
85,6775.59,0.5387,0.45047,1.07123,0.81334,0.77116,0.82672,0.64577,0.91844,0.85922,1.56997,0.004456,0.004456,0.004456
86,6855.27,0.53111,0.44326,1.06477,0.82308,0.76048,0.81224,0.63193,0.91323,0.89919,1.58088,0.00439,0.00439,0.00439
87,6934.83,0.53397,0.44755,1.06568,0.85217,0.72251,0.82836,0.65061,0.9075,0.85549,1.57557,0.004324,0.004324,0.004324
