epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0115,1.04835,2.17795,1.57317,0.54352,0.53151,0.57219,0.41436,1.02821,1.36179,1.63448,0.00332323,0.00332323,0.00332323
2,195.171,1.00132,1.45187,1.48812,0.41162,0.57873,0.53246,0.34622,1.19371,1.3936,1.8734,0.00661263,0.00661263,0.00661263
3,289.929,1.09838,1.55043,1.54989,0.33896,0.49605,0.40281,0.23361,1.43999,1.96247,2.19534,0.00985803,0.00985803,0.00985803
4,384.145,1.17667,1.66149,1.61168,0.42714,0.61192,0.51177,0.32251,1.22571,1.66895,1.90138,0.009802,0.009802,0.009802
5,478.511,1.14157,1.56258,1.57043,0.43949,0.45309,0.44683,0.25653,1.42783,1.7862,2.12787,0.009736,0.009736,0.009736
6,572.872,1.12218,1.52714,1.54613,0.49618,0.63027,0.58899,0.39959,1.18985,1.35666,1.83933,0.00967,0.00967,0.00967
7,667.206,1.08917,1.41245,1.5131,0.7007,0.6666,0.68911,0.48095,1.06048,1.12714,1.65363,0.009604,0.009604,0.009604
8,761.732,1.05847,1.34506,1.48976,0.51314,0.67065,0.6365,0.43505,1.12149,1.12489,1.69898,0.009538,0.009538,0.009538
9,856.086,1.01803,1.29956,1.45436,0.47291,0.66038,0.60377,0.40456,1.1509,1.3476,1.76009,0.009472,0.009472,0.009472
10,950.323,0.99629,1.25347,1.43381,0.67774,0.66975,0.71516,0.51939,1.00691,0.97379,1.59133,0.009406,0.009406,0.009406
11,1045.34,0.985,1.22314,1.4215,0.75701,0.62043,0.71734,0.51826,0.99077,0.98331,1.57569,0.00934,0.00934,0.00934
12,1140.13,0.9702,1.18184,1.41222,0.65263,0.66676,0.69355,0.49969,1.00663,0.98954,1.59825,0.009274,0.009274,0.009274
13,1234.78,0.95593,1.14376,1.40152,0.66986,0.69506,0.74416,0.54528,0.96783,0.95629,1.52604,0.009208,0.009208,0.009208
14,1330.22,0.92969,1.09505,1.37562,0.68579,0.68177,0.73184,0.53603,1.02092,1.01545,1.59638,0.009142,0.009142,0.009142
15,1424.44,0.90801,1.06678,1.3559,0.6487,0.70758,0.71517,0.52926,0.99683,1.08591,1.57153,0.009076,0.009076,0.009076
16,1518.65,0.90483,1.01918,1.34803,0.66587,0.70758,0.72136,0.53055,0.96866,0.97051,1.53626,0.00901,0.00901,0.00901
17,1613.02,0.88827,1.02635,1.33776,0.70119,0.7142,0.76448,0.56289,0.96416,0.92662,1.53943,0.008944,0.008944,0.008944
18,1707.35,0.88804,1.00641,1.34308,0.72947,0.74337,0.79966,0.59657,0.9558,0.87346,1.50935,0.008878,0.008878,0.008878
19,1801.69,0.86915,0.96115,1.32114,0.6974,0.75976,0.7841,0.58128,0.95899,0.87149,1.49177,0.008812,0.008812,0.008812
20,1895.93,0.86762,0.94983,1.32249,0.71125,0.75929,0.78797,0.59251,0.93169,0.85236,1.50981,0.008746,0.008746,0.008746
21,1990.08,0.84075,0.9127,1.29965,0.70534,0.7314,0.76924,0.57417,0.92635,0.88279,1.47985,0.00868,0.00868,0.00868
22,2084.24,0.84226,0.9058,1.30544,0.76716,0.73167,0.77572,0.58266,0.93386,0.87464,1.5158,0.008614,0.008614,0.008614
23,2178.42,0.833,0.89478,1.29825,0.74645,0.71814,0.77477,0.57718,0.93988,0.86937,1.49987,0.008548,0.008548,0.008548
24,2272.69,0.82522,0.85843,1.2883,0.77433,0.75315,0.82175,0.61681,0.93939,0.79558,1.51825,0.008482,0.008482,0.008482
25,2367.06,0.79452,0.84156,1.2686,0.74896,0.77653,0.8195,0.62154,0.92727,0.80587,1.49889,0.008416,0.008416,0.008416
26,2461.29,0.7967,0.82469,1.26809,0.79071,0.72283,0.80806,0.61232,0.90426,0.79356,1.49381,0.00835,0.00835,0.00835
27,2555.52,0.79877,0.83136,1.27161,0.73805,0.73384,0.79179,0.59497,0.94669,0.85573,1.50459,0.008284,0.008284,0.008284
28,2649.71,0.79273,0.80762,1.26311,0.72208,0.78952,0.82634,0.632,0.92267,0.79206,1.49018,0.008218,0.008218,0.008218
29,2743.97,0.77906,0.78398,1.25417,0.81373,0.73998,0.80716,0.61622,0.92025,0.87745,1.48944,0.008152,0.008152,0.008152
30,2838.22,0.78047,0.78643,1.25032,0.82575,0.69187,0.80894,0.61822,0.92372,0.81474,1.49419,0.008086,0.008086,0.008086
31,2932.51,0.77117,0.77121,1.24102,0.74578,0.75467,0.79026,0.59857,0.9243,0.8582,1.52483,0.00802,0.00802,0.00802
32,3026.79,0.75485,0.73507,1.23594,0.77883,0.71017,0.80391,0.61844,0.89084,0.88481,1.47152,0.007954,0.007954,0.007954
33,3121,0.75357,0.75241,1.23051,0.73584,0.78591,0.81767,0.62178,0.93536,0.82023,1.51709,0.007888,0.007888,0.007888
34,3215.16,0.74353,0.72045,1.22575,0.85464,0.70688,0.81506,0.63021,0.92073,0.83499,1.49123,0.007822,0.007822,0.007822
35,3309.38,0.73454,0.72032,1.21912,0.81317,0.76922,0.81635,0.63119,0.89859,0.80312,1.49668,0.007756,0.007756,0.007756
36,3403.58,0.73269,0.71489,1.21743,0.77527,0.74059,0.79489,0.60691,0.92076,0.86195,1.49311,0.00769,0.00769,0.00769
37,3497.91,0.72861,0.69799,1.21788,0.78625,0.77291,0.82689,0.6472,0.89498,0.7689,1.46938,0.007624,0.007624,0.007624
38,3592.21,0.73452,0.69596,1.21666,0.85474,0.73859,0.82768,0.63704,0.90685,0.79266,1.49626,0.007558,0.007558,0.007558
39,3686.43,0.7115,0.67179,1.2025,0.83952,0.73378,0.82086,0.63153,0.90612,0.81955,1.50204,0.007492,0.007492,0.007492
40,3780.61,0.70261,0.673,1.19734,0.82931,0.73852,0.8186,0.6319,0.89341,0.80121,1.49333,0.007426,0.007426,0.007426
41,3874.92,0.69385,0.64071,1.19142,0.82647,0.77312,0.84653,0.65446,0.87961,0.72961,1.45187,0.00736,0.00736,0.00736
42,3969.16,0.69376,0.65511,1.18789,0.79448,0.768,0.82939,0.63469,0.907,0.7734,1.4962,0.007294,0.007294,0.007294
43,4063.39,0.68757,0.64268,1.18273,0.81412,0.7196,0.82878,0.63959,0.90151,0.78437,1.48556,0.007228,0.007228,0.007228
44,4157.56,0.68315,0.63722,1.18144,0.76108,0.78689,0.83063,0.64184,0.90453,0.80954,1.4975,0.007162,0.007162,0.007162
45,4251.79,0.67854,0.62872,1.17963,0.73211,0.79546,0.81563,0.62806,0.90243,0.86172,1.49903,0.007096,0.007096,0.007096
46,4346.04,0.67056,0.62138,1.17624,0.73959,0.84043,0.83294,0.63938,0.92336,0.8067,1.52135,0.00703,0.00703,0.00703
47,4440.3,0.66684,0.6079,1.17486,0.80726,0.72921,0.82006,0.63001,0.91388,0.81733,1.53131,0.006964,0.006964,0.006964
48,4534.52,0.66805,0.60804,1.16981,0.78042,0.73402,0.82027,0.63103,0.9241,0.86136,1.55136,0.006898,0.006898,0.006898
49,4628.85,0.65935,0.60186,1.16923,0.78203,0.78793,0.82826,0.64214,0.90116,0.80124,1.52596,0.006832,0.006832,0.006832
50,4723.1,0.65208,0.58954,1.15288,0.85202,0.72814,0.82464,0.64173,0.9037,0.79185,1.53776,0.006766,0.006766,0.006766
51,4817.36,0.64197,0.58349,1.15274,0.85128,0.73581,0.81849,0.6322,0.89285,0.8117,1.50036,0.0067,0.0067,0.0067
52,4911.52,0.63536,0.57239,1.15204,0.79476,0.7886,0.84517,0.65316,0.9016,0.76669,1.52613,0.006634,0.006634,0.006634
53,5005.73,0.64159,0.5767,1.15349,0.76591,0.75427,0.80831,0.62602,0.89653,0.86574,1.51365,0.006568,0.006568,0.006568
54,5099.94,0.61615,0.55879,1.13607,0.78653,0.75453,0.82282,0.63548,0.91525,0.83168,1.55611,0.006502,0.006502,0.006502
55,5194.21,0.62604,0.56174,1.14225,0.78336,0.78125,0.84333,0.65161,0.91118,0.76565,1.54595,0.006436,0.006436,0.006436
56,5288.47,0.61377,0.53664,1.12955,0.84502,0.73013,0.82163,0.63018,0.90622,0.82744,1.52666,0.00637,0.00637,0.00637
57,5382.77,0.61734,0.5453,1.13817,0.81343,0.77431,0.85078,0.65738,0.89916,0.74147,1.52475,0.006304,0.006304,0.006304
58,5477.08,0.6075,0.53521,1.12476,0.75217,0.81697,0.84837,0.65827,0.88915,0.82557,1.51613,0.006238,0.006238,0.006238
59,5571.45,0.60027,0.52837,1.12597,0.82582,0.80575,0.84245,0.64776,0.89778,0.78077,1.52654,0.006172,0.006172,0.006172
60,5665.69,0.60407,0.52937,1.12714,0.80418,0.78609,0.82579,0.64361,0.90161,0.81899,1.53662,0.006106,0.006106,0.006106
61,5759.87,0.60084,0.52023,1.12466,0.84071,0.73089,0.81952,0.63272,0.90738,0.86711,1.54389,0.00604,0.00604,0.00604
62,5854.06,0.5931,0.51737,1.12159,0.7565,0.79014,0.83238,0.64565,0.89359,0.84333,1.54534,0.005974,0.005974,0.005974
63,5948.33,0.5965,0.51815,1.12586,0.83832,0.76168,0.81542,0.63747,0.91212,0.8271,1.55709,0.005908,0.005908,0.005908
64,6042.58,0.58262,0.50634,1.11758,0.84708,0.75997,0.83947,0.65518,0.8957,0.77382,1.53891,0.005842,0.005842,0.005842
65,6136.84,0.57575,0.49844,1.10934,0.82263,0.74327,0.81857,0.63747,0.91909,0.87133,1.59034,0.005776,0.005776,0.005776
66,6231.12,0.57366,0.49733,1.1068,0.73683,0.80278,0.82094,0.64069,0.89258,0.84012,1.53532,0.00571,0.00571,0.00571
67,6325.4,0.56884,0.48952,1.10547,0.82537,0.76413,0.82161,0.64023,0.89267,0.84256,1.55837,0.005644,0.005644,0.005644
68,6419.69,0.56674,0.48892,1.10113,0.86258,0.70772,0.82254,0.63667,0.90086,0.8446,1.57472,0.005578,0.005578,0.005578
69,6513.98,0.56313,0.47974,1.10363,0.84266,0.74798,0.83352,0.64354,0.91895,0.81661,1.58822,0.005512,0.005512,0.005512
70,6608.26,0.56484,0.47757,1.09859,0.8375,0.76354,0.83958,0.64366,0.90404,0.83631,1.5746,0.005446,0.005446,0.005446
71,6702.57,0.55577,0.47782,1.09639,0.82939,0.75681,0.8342,0.64936,0.90426,0.84167,1.5597,0.00538,0.00538,0.00538
72,6796.82,0.55525,0.46549,1.09582,0.8302,0.81974,0.84703,0.6614,0.87037,0.77074,1.52161,0.005314,0.005314,0.005314
73,6891.27,0.55313,0.46785,1.09343,0.80255,0.78869,0.84093,0.65642,0.8932,0.80746,1.55044,0.005248,0.005248,0.005248
74,6985.55,0.55428,0.46043,1.09474,0.79209,0.75495,0.82501,0.64258,0.91527,0.84471,1.5781,0.005182,0.005182,0.005182
75,7079.86,0.54871,0.46728,1.08724,0.75832,0.79221,0.82145,0.64287,0.90785,0.87273,1.57244,0.005116,0.005116,0.005116
76,7174.14,0.54536,0.45247,1.08759,0.77363,0.74821,0.80656,0.62869,0.92278,0.90466,1.59067,0.00505,0.00505,0.00505
77,7268.5,0.53232,0.445,1.08118,0.80498,0.79161,0.84162,0.65682,0.91926,0.82825,1.59416,0.004984,0.004984,0.004984
78,7362.92,0.5361,0.44642,1.08598,0.80372,0.80167,0.84749,0.65638,0.92285,0.80751,1.59908,0.004918,0.004918,0.004918
79,7457.57,0.53435,0.44123,1.08379,0.8558,0.75911,0.8398,0.65204,0.90917,0.79588,1.57469,0.004852,0.004852,0.004852
80,7552.24,0.53271,0.4351,1.08196,0.76943,0.79922,0.83154,0.64911,0.91444,0.82994,1.58996,0.004786,0.004786,0.004786
81,7646.51,0.52616,0.43442,1.0758,0.8407,0.75452,0.8379,0.66167,0.89379,0.8081,1.57866,0.00472,0.00472,0.00472
