epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2028.83,0.72471,0.66891,1.18304,0.78922,0.77178,0.80665,0.62136,0.91866,0.86081,1.48359,0.007162,0.007162,0.007162
45,2074.67,0.71459,0.65533,1.17488,0.78862,0.76886,0.82137,0.6331,0.91448,0.88808,1.48215,0.007096,0.007096,0.007096
46,2121.45,0.70633,0.6368,1.17076,0.82184,0.75767,0.83792,0.64774,0.90777,0.81217,1.50094,0.00703,0.00703,0.00703
47,2167.45,0.70387,0.63462,1.1675,0.79344,0.76207,0.82507,0.63932,0.89472,0.87041,1.46285,0.006964,0.006964,0.006964
48,2213.39,0.70571,0.61659,1.16415,0.80373,0.76123,0.82676,0.64053,0.90366,0.89789,1.48813,0.006898,0.006898,0.006898
49,2259.32,0.70086,0.63295,1.1675,0.79205,0.76826,0.82674,0.63868,0.92049,0.87308,1.50161,0.006832,0.006832,0.006832
50,2305.23,0.69036,0.61417,1.15389,0.81931,0.76477,0.82905,0.64152,0.90191,0.86177,1.4724,0.006766,0.006766,0.006766
51,2351.44,0.68387,0.6015,1.1518,0.76604,0.80598,0.82992,0.64591,0.89908,0.82061,1.48512,0.0067,0.0067,0.0067
52,2397.35,0.68356,0.60098,1.1527,0.82346,0.75902,0.84019,0.65424,0.89768,0.83818,1.46184,0.006634,0.006634,0.006634
53,2443.37,0.67554,0.59637,1.14807,0.81768,0.7479,0.82448,0.64061,0.8961,0.88197,1.46836,0.006568,0.006568,0.006568
54,2489.32,0.66176,0.57889,1.1403,0.83931,0.76009,0.83913,0.64417,0.90966,0.86266,1.49664,0.006502,0.006502,0.006502
55,2535.32,0.66757,0.58639,1.14307,0.82762,0.75289,0.82619,0.63977,0.90128,0.88881,1.47434,0.006436,0.006436,0.006436
56,2581.3,0.65956,0.57164,1.1335,0.82601,0.73309,0.81878,0.6398,0.89748,0.88971,1.46895,0.00637,0.00637,0.00637
57,2627.28,0.65952,0.58186,1.14042,0.82097,0.74028,0.8252,0.63624,0.89439,0.85708,1.46667,0.006304,0.006304,0.006304
58,2673.42,0.65565,0.56663,1.12779,0.83669,0.71915,0.81763,0.63534,0.88588,0.89923,1.4673,0.006238,0.006238,0.006238
59,2719.38,0.64864,0.55395,1.13085,0.80332,0.75739,0.82254,0.63934,0.91583,0.87511,1.50118,0.006172,0.006172,0.006172
60,2765.27,0.64793,0.56159,1.13089,0.85565,0.74384,0.83801,0.64863,0.89611,0.84304,1.48547,0.006106,0.006106,0.006106
61,2811.28,0.64132,0.55544,1.12545,0.82411,0.72885,0.82215,0.63733,0.89763,0.88761,1.49944,0.00604,0.00604,0.00604
62,2857.33,0.64037,0.5508,1.12371,0.85761,0.73682,0.82673,0.63936,0.90406,0.85991,1.49825,0.005974,0.005974,0.005974
63,2903.4,0.6395,0.54412,1.12661,0.87237,0.72455,0.8351,0.64683,0.90202,0.84909,1.49781,0.005908,0.005908,0.005908
64,2949.34,0.63104,0.53966,1.11876,0.8039,0.77876,0.83389,0.64991,0.91243,0.87123,1.51984,0.005842,0.005842,0.005842
65,2995.19,0.61948,0.52266,1.11061,0.77914,0.7703,0.81396,0.62987,0.91089,0.93233,1.51686,0.005776,0.005776,0.005776
66,3041.14,0.61646,0.5257,1.10973,0.83628,0.77454,0.82237,0.64809,0.90159,0.89254,1.51052,0.00571,0.00571,0.00571
