epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1906.46,0.67434,0.61204,1.15028,0.81524,0.7416,0.81717,0.61743,0.93467,0.89279,1.51886,0.007162,0.007162,0.007162
45,1949.86,0.67192,0.6091,1.14783,0.83251,0.74007,0.81967,0.61902,0.92998,0.901,1.5178,0.007096,0.007096,0.007096
46,1993.05,0.66993,0.59992,1.14743,0.79402,0.77111,0.83069,0.6358,0.92967,0.85677,1.52815,0.00703,0.00703,0.00703
47,2036.33,0.66885,0.60213,1.14558,0.78242,0.76629,0.81385,0.62399,0.9378,0.85029,1.53415,0.006964,0.006964,0.006964
48,2079.54,0.66102,0.59103,1.13448,0.81675,0.77347,0.82566,0.63472,0.9059,0.8591,1.52803,0.006898,0.006898,0.006898
49,2122.71,0.66442,0.60483,1.14391,0.73859,0.80708,0.8157,0.63108,0.92867,0.88464,1.53559,0.006832,0.006832,0.006832
50,2165.88,0.65102,0.57406,1.12881,0.86587,0.71342,0.81554,0.62682,0.94097,0.86025,1.54023,0.006766,0.006766,0.006766
51,2209.02,0.64202,0.57006,1.12549,0.88639,0.71721,0.82827,0.63427,0.92902,0.83877,1.53771,0.0067,0.0067,0.0067
52,2252.2,0.63694,0.56292,1.12211,0.80854,0.76442,0.82621,0.6412,0.92047,0.83655,1.51176,0.006634,0.006634,0.006634
53,2295.5,0.63803,0.56153,1.12644,0.81208,0.75684,0.8208,0.63306,0.93075,0.85185,1.53074,0.006568,0.006568,0.006568
54,2338.7,0.61831,0.5392,1.11417,0.8326,0.76355,0.8347,0.63433,0.94207,0.84413,1.54612,0.006502,0.006502,0.006502
55,2381.96,0.62663,0.55104,1.1166,0.79159,0.73563,0.81371,0.62685,0.93022,0.9268,1.53373,0.006436,0.006436,0.006436
56,2425.26,0.61823,0.53231,1.10748,0.79558,0.76886,0.82841,0.63016,0.93244,0.85993,1.51951,0.00637,0.00637,0.00637
57,2468.47,0.6164,0.5384,1.11212,0.8065,0.75652,0.81421,0.61662,0.94069,0.86224,1.53937,0.006304,0.006304,0.006304
58,2511.7,0.6147,0.52932,1.10402,0.82765,0.73593,0.82722,0.63245,0.92675,0.85512,1.5541,0.006238,0.006238,0.006238
59,2554.98,0.6064,0.52887,1.10445,0.82022,0.74429,0.82332,0.631,0.92923,0.8552,1.54652,0.006172,0.006172,0.006172
60,2598.06,0.60648,0.51995,1.10281,0.79274,0.78929,0.82533,0.62905,0.94468,0.81256,1.56902,0.006106,0.006106,0.006106
61,2641.36,0.60665,0.52166,1.10223,0.82137,0.7835,0.84115,0.64861,0.91315,0.8126,1.54258,0.00604,0.00604,0.00604
62,2684.55,0.59923,0.51059,1.09745,0.86787,0.70911,0.81742,0.63551,0.91198,0.86633,1.53729,0.005974,0.005974,0.005974
63,2727.69,0.60549,0.51236,1.10713,0.81474,0.79856,0.84133,0.64652,0.91121,0.79959,1.52895,0.005908,0.005908,0.005908
64,2770.94,0.58982,0.50365,1.09371,0.84023,0.75302,0.82839,0.6409,0.89981,0.82683,1.51934,0.005842,0.005842,0.005842
65,2814.1,0.57944,0.48684,1.08619,0.8533,0.7235,0.83126,0.64204,0.9247,0.84343,1.56242,0.005776,0.005776,0.005776
66,2857.32,0.57803,0.49532,1.08551,0.82439,0.74776,0.8349,0.63796,0.92454,0.81066,1.54493,0.00571,0.00571,0.00571
67,2900.52,0.57416,0.49045,1.08351,0.85141,0.76231,0.84584,0.64456,0.92623,0.8229,1.55903,0.005644,0.005644,0.005644
68,2943.62,0.57824,0.48238,1.08567,0.77623,0.778,0.81124,0.61605,0.92634,0.86852,1.56017,0.005578,0.005578,0.005578
69,2986.67,0.57037,0.47956,1.08497,0.82792,0.78078,0.8313,0.62653,0.94563,0.88358,1.58695,0.005512,0.005512,0.005512
70,3029.87,0.57226,0.4724,1.08306,0.78566,0.77515,0.82787,0.62979,0.92132,0.85813,1.55036,0.005446,0.005446,0.005446
71,3073.15,0.56326,0.47331,1.0829,0.77141,0.80003,0.83385,0.64239,0.90601,0.83029,1.5316,0.00538,0.00538,0.00538
72,3116.37,0.56301,0.46953,1.07863,0.84899,0.74926,0.82478,0.63202,0.92471,0.86792,1.54636,0.005314,0.005314,0.005314
73,3159.51,0.56073,0.46453,1.07845,0.80023,0.78939,0.82289,0.63369,0.91056,0.8335,1.53634,0.005248,0.005248,0.005248
74,3202.67,0.55714,0.45474,1.07426,0.85924,0.74392,0.81074,0.62865,0.91297,0.89345,1.55784,0.005182,0.005182,0.005182
75,3245.87,0.56083,0.46356,1.07354,0.81654,0.79569,0.82601,0.63678,0.91833,0.84958,1.57011,0.005116,0.005116,0.005116
76,3289.11,0.55484,0.45789,1.07292,0.80601,0.7899,0.82642,0.63517,0.91255,0.84813,1.57278,0.00505,0.00505,0.00505
77,3332.41,0.543,0.4473,1.06546,0.81549,0.76685,0.82394,0.63994,0.91855,0.87805,1.57148,0.004984,0.004984,0.004984
78,3375.61,0.54347,0.44329,1.07057,0.81137,0.76365,0.82523,0.63363,0.92054,0.86466,1.55775,0.004918,0.004918,0.004918
79,3418.85,0.54303,0.44505,1.06427,0.8553,0.73316,0.82134,0.63441,0.92535,0.8353,1.5742,0.004852,0.004852,0.004852
80,3462.14,0.54232,0.44023,1.06719,0.79016,0.76542,0.81754,0.62819,0.92154,0.8951,1.57936,0.004786,0.004786,0.004786
81,3505.35,0.5348,0.439,1.06032,0.8107,0.7842,0.82458,0.63505,0.90578,0.843,1.55026,0.00472,0.00472,0.00472
82,3548.52,0.5309,0.44231,1.06142,0.8164,0.76729,0.83045,0.64067,0.907,0.84943,1.55005,0.004654,0.004654,0.004654
83,3591.81,0.53417,0.43156,1.0608,0.80253,0.79167,0.82289,0.63084,0.92269,0.83494,1.5874,0.004588,0.004588,0.004588
84,3635.04,0.52902,0.42717,1.05798,0.83902,0.76534,0.82898,0.6425,0.92035,0.87673,1.56922,0.004522,0.004522,0.004522
85,3678.23,0.52328,0.42588,1.05838,0.79453,0.78523,0.80933,0.6316,0.91902,0.88325,1.5804,0.004456,0.004456,0.004456
86,3721.42,0.52072,0.4201,1.05183,0.86853,0.74179,0.82109,0.64011,0.93144,0.85463,1.60692,0.00439,0.00439,0.00439
87,3764.64,0.52304,0.42015,1.05372,0.82758,0.77522,0.81931,0.63946,0.91878,0.84887,1.56832,0.004324,0.004324,0.004324
88,3807.81,0.51886,0.41493,1.05131,0.84894,0.76379,0.81861,0.63018,0.9157,0.83578,1.56722,0.004258,0.004258,0.004258
