epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9397,1.12289,2.51062,1.66156,0.42322,0.58332,0.46097,0.31255,1.12505,1.49812,1.73098,0.00332323,0.00332323,0.00332323
2,146.129,1.02768,1.62381,1.54746,0.66394,0.4838,0.47131,0.31235,1.16757,1.38924,1.79607,0.00661263,0.00661263,0.00661263
3,214.471,1.0988,1.61194,1.59491,0.47566,0.40656,0.39112,0.22159,1.46031,1.89873,2.30624,0.00985803,0.00985803,0.00985803
4,281.947,1.17758,1.69275,1.62474,0.49375,0.46389,0.50343,0.31585,1.2565,1.41073,1.91929,0.009802,0.009802,0.009802
5,349.51,1.14002,1.56284,1.56845,0.47719,0.54469,0.52838,0.35157,1.13817,1.40029,1.78291,0.009736,0.009736,0.009736
6,417.317,1.11301,1.51098,1.53669,0.41861,0.57858,0.51962,0.31281,1.36277,1.39223,1.96593,0.00967,0.00967,0.00967
7,484.983,1.07862,1.42438,1.51034,0.61676,0.57872,0.58854,0.39695,1.13426,1.2443,1.73176,0.009604,0.009604,0.009604
8,552.46,1.06144,1.36348,1.49158,0.53535,0.66739,0.62678,0.4533,1.06063,1.09703,1.63048,0.009538,0.009538,0.009538
9,620.175,1.03591,1.33472,1.46581,0.58185,0.67687,0.67318,0.49465,0.98246,1.04566,1.55375,0.009472,0.009472,0.009472
10,687.835,1.01062,1.29219,1.44385,0.58436,0.63624,0.66988,0.47543,1.05151,1.05019,1.62173,0.009406,0.009406,0.009406
11,755.539,0.98196,1.25005,1.41549,0.56565,0.73459,0.70229,0.51002,0.96815,1.01779,1.52589,0.00934,0.00934,0.00934
12,822.981,0.98177,1.22633,1.42089,0.59066,0.70838,0.69921,0.51762,0.95998,0.96983,1.51778,0.009274,0.009274,0.009274
13,890.747,0.96432,1.18326,1.40131,0.66007,0.71876,0.73549,0.5256,1.0457,0.96634,1.6186,0.009208,0.009208,0.009208
14,958.182,0.93226,1.13177,1.37587,0.64696,0.71174,0.73954,0.54197,0.96951,0.94578,1.52526,0.009142,0.009142,0.009142
15,1025.68,0.9211,1.10569,1.36914,0.62708,0.78242,0.72595,0.53487,1.00347,0.94934,1.56915,0.009076,0.009076,0.009076
16,1093.22,0.92439,1.07933,1.36215,0.6749,0.69956,0.71517,0.53657,0.93715,0.91672,1.5355,0.00901,0.00901,0.00901
17,1160.83,0.91105,1.07609,1.35465,0.61088,0.75368,0.72218,0.54364,0.90731,0.91837,1.47324,0.008944,0.008944,0.008944
18,1228.5,0.89733,1.03052,1.34231,0.72639,0.7151,0.75782,0.57165,0.92716,0.89378,1.4949,0.008878,0.008878,0.008878
19,1295.85,0.88988,1.01366,1.33012,0.69104,0.74912,0.7691,0.58344,0.90682,0.8715,1.48177,0.008812,0.008812,0.008812
20,1363.43,0.87764,0.99983,1.32684,0.76302,0.69196,0.76245,0.56973,0.92657,0.86366,1.50104,0.008746,0.008746,0.008746
21,1431.09,0.86084,0.9537,1.31456,0.77535,0.6908,0.77938,0.59691,0.88142,0.81054,1.44624,0.00868,0.00868,0.00868
22,1498.65,0.85808,0.95404,1.31231,0.75136,0.69406,0.77422,0.59035,0.88652,0.86615,1.47028,0.008614,0.008614,0.008614
23,1566.34,0.85282,0.94997,1.31232,0.76007,0.71257,0.79173,0.6056,0.9174,0.82456,1.47754,0.008548,0.008548,0.008548
24,1634.07,0.84404,0.91623,1.29646,0.69913,0.71997,0.7563,0.56907,0.95327,0.87287,1.52316,0.008482,0.008482,0.008482
25,1701.67,0.82732,0.89277,1.28052,0.71196,0.74979,0.77502,0.59616,0.90526,0.85502,1.45904,0.008416,0.008416,0.008416
26,1769.35,0.83737,0.89204,1.28497,0.78715,0.70045,0.7708,0.58438,0.89945,0.84802,1.46037,0.00835,0.00835,0.00835
27,1836.94,0.83137,0.8859,1.28956,0.69899,0.76263,0.77835,0.59074,0.88519,0.89291,1.45375,0.008284,0.008284,0.008284
28,1904.44,0.82263,0.86805,1.27069,0.74976,0.74168,0.79877,0.6122,0.90442,0.79169,1.45087,0.008218,0.008218,0.008218
29,1972.15,0.81572,0.84849,1.27172,0.69767,0.73212,0.78635,0.59773,0.91193,0.86185,1.484,0.008152,0.008152,0.008152
30,2039.73,0.80836,0.84952,1.26444,0.71476,0.77063,0.80731,0.62561,0.88225,0.82012,1.44281,0.008086,0.008086,0.008086
31,2107.52,0.80761,0.83432,1.26571,0.76565,0.74915,0.8005,0.62421,0.88481,0.79584,1.44293,0.00802,0.00802,0.00802
32,2175.17,0.78782,0.80667,1.24974,0.73595,0.7415,0.78999,0.61367,0.89737,0.81808,1.47448,0.007954,0.007954,0.007954
33,2242.98,0.79121,0.80982,1.2484,0.71318,0.72956,0.77307,0.59601,0.88713,0.87185,1.45457,0.007888,0.007888,0.007888
34,2310.62,0.78462,0.77725,1.24717,0.74426,0.7734,0.80865,0.63466,0.85896,0.77977,1.41975,0.007822,0.007822,0.007822
35,2378.51,0.77641,0.77367,1.2436,0.73235,0.75779,0.78942,0.60735,0.90146,0.83785,1.48196,0.007756,0.007756,0.007756
36,2446.1,0.78234,0.77352,1.24293,0.76718,0.75459,0.80982,0.63619,0.88629,0.78421,1.46092,0.00769,0.00769,0.00769
37,2513.99,0.76772,0.75434,1.23285,0.81174,0.76565,0.82076,0.63718,0.86649,0.75621,1.44836,0.007624,0.007624,0.007624
38,2581.33,0.76564,0.76149,1.23203,0.72637,0.72286,0.78799,0.61855,0.87461,0.84085,1.45688,0.007558,0.007558,0.007558
39,2648.85,0.75059,0.71897,1.21794,0.77439,0.70791,0.79579,0.62042,0.88806,0.83026,1.46792,0.007492,0.007492,0.007492
40,2716.47,0.74458,0.72808,1.21517,0.80025,0.70713,0.80181,0.62202,0.88179,0.82193,1.44768,0.007426,0.007426,0.007426
41,2784.33,0.74196,0.70183,1.20989,0.73583,0.75659,0.80246,0.62608,0.86367,0.78126,1.42266,0.00736,0.00736,0.00736
42,2852.04,0.74047,0.71283,1.2154,0.80162,0.75291,0.80092,0.62916,0.87403,0.78476,1.44057,0.007294,0.007294,0.007294
43,2919.71,0.72764,0.69573,1.20125,0.79556,0.77079,0.81331,0.62747,0.88325,0.80921,1.47167,0.007228,0.007228,0.007228
